[1300.0, 1300.0, 0.004833, [0.14003458], [137.07999999999998], [19.9292056], [0.037425813150818776]]
[1300.0, 1500.0, 0.006581, [0.19071301], [137.07999999999998], [19.9292056], [0.04375256817147994]]
[1300.0, 600.0, 0.037316, [0.84978974], [58.419999999999995], [16.4252844], [0.06760565085848963]]
[1300.0, 300.0, 0.248984, [5.849948799999999], [58.419999999999995], [16.4252844], [0.17792595448669088]]
[1300.0, 1900.0, 0.005867, [0.17002441799999998], [137.07999999999998], [19.9292056], [0.04123698472488017]]
[1300.0, 400.0, 0.20724, [4.829264], [58.419999999999995], [16.4252844], [0.16115468283608764]]
[1300.0, 700.0, 0.012073, [0.34998764199999993], [137.07999999999998], [19.9292056], [0.043410624317095456]]
[1300.0, 800.0, 0.013174, [0.381925764], [137.07999999999998], [19.9292056], [0.04532625119729184]]
[1400.0, 1100.0, 0.004314, [0.125004448], [137.07999999999998], [19.9292056], [0.028677980514673622]]
[1400.0, 400.0, 0.148338, [3.4229115199999995], [58.419999999999995], [16.4252844], [0.1104739968680413]]
[1400.0, 1500.0, 0.003962, [0.099189478], [116.83999999999999], [16.794724199999997], [0.05726706257527096]]
[1400.0, 1800.0, 0.005243, [0.15193790799999998], [137.07999999999998], [19.9292056], [0.031681245619451265]]
[1400.0, 1600.0, 0.004339, [0.125729546], [137.07999999999998], [19.9292056], [0.02884433658796818]]
[1400.0, 1400.0, 0.003697, [0.10712622599999999], [137.07999999999998], [19.9292056], [0.029711474423192122]]
