[600.0, 1000.0, 0.0068, [0.0025893331, 0.37286404], [0.09706000000000001, 1996.4], [0.0328924104, 126.311676], [0.0018309357989836782, 0.06214402173017128]]
[600.0, 2000.0, 0.006042, [0.146312752, 0.512094632], [259.90000000000003, 1996.4], [15.5177596, 126.311676], [0.02765051084663717, 0.0731563730101486]]
[600.0, 700.0, 0.007061, [1.00865028, 0.014009033199999998], [1968.8, 8.096], [126.311676, 0.98766186], [0.07518036003106131, 0.006265029101927619]]
[600.0, 1300.0, 0.009954, [0.0038918483999999995, 0.020756524800000002], [0.09706000000000001, 25.392], [0.0328924104, 2.93968428], [0.002246959217698443, 0.010378260617271085]]
[600.0, 900.0, 0.007686, [1.815706664, 0.002810692], [4057.2, 0.31418], [209.489474, 0.093860286], [0.10102861779119816, 0.001987459265494516]]
[700.0, 2000.0, 0.004596, [1.165923728, 0.0030362594400000003], [4057.2, 1.8078], [209.489474, 0.304713108], [0.08414330260216793, 0.002146959513358368]]
[700.0, 100.0, 0.004118, [1.03409564, 0.279041704], [4057.2, 1996.4], [209.489474, 126.311676], [0.05826469751058525, 0.030266316548929435]]
[700.0, 1000.0, 0.004461, [0.997330048, 0.10338177999999999], [4057.2, 314.64], [209.489474, 26.476988199999997], [0.07787837767185447, 0.01772982505948663]]
[700.0, 600.0, 0.00455, [1.1202541920000002, 0.0802521336], [4057.2, 314.64], [209.489474, 26.476988199999997], [0.06057642176292686, 0.01146458803795409]]
[700.0, 1400.0, 0.004401, [0.114980956, 0.006051630279999999], [259.90000000000003, 8.096], [15.5177596, 0.98766186], [0.018652377770139655, 0.00427914935098087]]
[700.0, 1900.0, 0.004741, [0.28739613199999997, 0.00453783422], [786.6, 1.8078], [50.808656000000006, 0.304713108], [0.02948622246405938, 0.0026199198941952405]]
[700.0, 200.0, 0.004815, [0.119058488, 0.0342496956], [259.90000000000003, 86.94], [15.5177596, 7.5865132], [0.013934738628334586, 0.007473895635343057]]
[700.0, 400.0, 0.004801, [1.1749653039999999, 0.008205065079999999], [4057.2, 8.096], [209.489474, 0.98766186], [0.0620988414706748, 0.003669416280554715]]
[700.0, 1300.0, 0.005297, [0.0030363266, 0.0060726532], [0.35742, 1.8078], [0.090960262, 0.304713108], [0.0021470073134481865, 0.0030363265127452944]]
[700.0, 1100.0, 0.005204, [0.0726262812, 0.00151304764], [103.5, 0.31418], [6.6977012, 0.093860286], [0.01482477734605144, 0.0015130476185500575]]
[700.0, 800.0, 0.00516, [0.6482259280000001, 0.00245540134], [1968.8, 0.31418], [126.311676, 0.093860286], [0.046067408689441175, 0.0014176264894534103]]
[700.0, 1500.0, 0.004034, [187.558261], [791200.0], [37086.3868], [11.934045973600067]]
[700.0, 1600.0, 0.004401, [1.074029712, 0.030339824400000003], [4057.2, 86.94], [209.489474, 7.5865132], [0.08072902233026237, 0.00959429444617998]]
[700.0, 1800.0, 0.005971, [0.11841439600000002, 0.00303626772], [259.90000000000003, 0.31418], [15.5177596, 0.093860286], [0.01896148568440775, 0.002146965426829226]]
[700.0, 1200.0, 0.004349, [202.18994100000003], [786600.0], [37086.3868], [12.373824719948153]]
[700.0, 700.0, 0.00608, [0.142291156, 0.024532959200000003], [259.90000000000003, 25.392], [15.5177596, 2.93968428], [0.01525521740520272, 0.00633438339603785]]
