# BEGIN PLOT
#XTwosidedTicks=1
#YTwosidedTicks=1
#Title=electron channel, dressed level
RatioPlotReference=/REF/ATLAS_2014_I1319490_EL/d26-x01-y02
RatioPlot=1
LogY=1
LegendXPos=0.1
XLabel=$m_{12}$ [GeV]
MainPlot=0
YLabel=$\text{d}\sigma_{W + \geq 2j} / \text{d}m_{12}$
#DrawOnly=/REF/ATLAS_2014_I1319490_EL/d26-x01-y02 /./mY_100_mX_600/mY_100_mX_600.yoda/ATLAS_2014_I1319490_EL/d26-x01-y02
LegendYPos=0.3
#Legend=1
RatioPlotYMin=1
LeftMargin=1.5
RatioPlotYMax=1.25
RatioPlotYLabel=(MC+Data)/Data
RatioPlotErrorBandColor={[rgb]{0.8,0.8,0.8}}
# END PLOT

# BEGIN HISTO1D /REF/ATLAS_2014_I1319490_EL/d26-x01-y02
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/REF/ATLAS_2014_I1319490_EL/d26-x01-y02
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
3.800000e+02	4.000000e+02	5.165279e-02	6.111859e-03	6.111859e-03
4.000000e+02	4.500000e+02	3.859277e-02	4.424065e-03	4.424065e-03
4.500000e+02	5.000000e+02	2.802830e-02	3.475015e-03	3.475015e-03
5.000000e+02	5.800000e+02	1.919829e-02	2.722878e-03	2.722878e-03
5.800000e+02	6.800000e+02	1.191415e-02	2.033675e-03	2.033675e-03
6.800000e+02	8.000000e+02	6.448097e-03	1.147019e-03	1.147019e-03
8.000000e+02	1.000000e+03	2.860037e-03	5.270992e-04	5.270992e-04
1.000000e+03	1.200000e+03	1.329796e-03	3.028132e-04	3.028132e-04
1.200000e+03	1.400000e+03	6.022155e-04	1.458328e-04	1.458328e-04
1.400000e+03	1.600000e+03	2.491402e-04	8.629434e-05	8.629434e-05
1.600000e+03	1.800000e+03	1.251701e-04	3.082898e-05	3.082898e-05
1.800000e+03	2.000000e+03	4.775011e-05	3.922286e-05	3.922286e-05
# END HISTO1D


# BEGIN HISTO1D /./mY_600_mX_600/mY_600_mX_600.yoda/ATLAS_2014_I1319490_EL/d26-x01-y02
Path=/./mY_600_mX_600/mY_600_mX_600.yoda/ATLAS_2014_I1319490_EL/d26-x01-y02
Title=0.253502
#LineColor=black
#FillStyle=solid
#FillColor=green
PlotOrder=3
LineColor=green
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.500000e+01	1.017000e-02	2.008831e-03	2.008831e-03
2.500000e+01	5.000000e+01	1.618034e-01	2.914395e-02	2.914395e-02
5.000000e+01	7.500000e+01	3.253313e-01	4.012356e-02	4.012356e-02
7.500000e+01	1.000000e+02	6.374443e-01	6.812026e-02	6.812026e-02
1.000000e+02	1.200000e+02	6.040477e-01	5.863395e-02	5.863395e-02
1.200000e+02	1.500000e+02	4.712608e-01	4.447617e-02	4.447617e-02
1.500000e+02	1.800000e+02	3.686670e-01	3.551310e-02	3.551310e-02
1.800000e+02	2.000000e+02	2.868852e-01	2.765683e-02	2.765683e-02
2.000000e+02	2.200000e+02	2.224860e-01	2.023833e-02	2.023833e-02
2.200000e+02	2.500000e+02	1.747977e-01	1.679196e-02	1.679196e-02
2.500000e+02	2.800000e+02	1.406107e-01	1.415874e-02	1.415874e-02
2.800000e+02	3.000000e+02	1.124244e-01	1.190084e-02	1.190084e-02
3.000000e+02	3.200000e+02	9.139693e-02	9.921346e-03	9.921346e-03
3.200000e+02	3.500000e+02	7.448596e-02	8.226280e-03	8.226280e-03
3.500000e+02	3.800000e+02	6.183127e-02	7.027064e-03	7.027064e-03
3.800000e+02	4.000000e+02	5.151346e-02	6.111664e-03	6.111664e-03
4.000000e+02	4.500000e+02	3.861030e-02	4.423982e-03	4.423982e-03
4.500000e+02	5.000000e+02	2.837066e-02	3.474966e-03	3.474966e-03
5.000000e+02	5.800000e+02	2.013277e-02	2.722872e-03	2.722872e-03
5.800000e+02	6.800000e+02	1.264537e-02	2.033677e-03	2.033677e-03
6.800000e+02	8.000000e+02	6.414575e-03	1.146994e-03	1.146994e-03
8.000000e+02	1.000000e+03	2.845160e-03	5.270844e-04	5.270844e-04
1.000000e+03	1.200000e+03	1.323004e-03	3.028025e-04	3.028025e-04
1.200000e+03	1.400000e+03	5.982038e-04	1.458209e-04	1.458209e-04
1.400000e+03	1.600000e+03	2.475371e-04	8.628545e-05	8.628545e-05
1.600000e+03	1.800000e+03	1.245815e-04	3.081684e-05	3.081684e-05
1.800000e+03	2.000000e+03	4.665038e-05	3.921277e-05	3.921277e-05
# END HISTO1D

# BEGIN HISTO1D /./mY_1000_mX_600/mY_1000_mX_600.yoda/ATLAS_2014_I1319490_EL/d26-x01-y02
Path=/./mY_1000_mX_600/mY_1000_mX_600.yoda/ATLAS_2014_I1319490_EL/d26-x01-y02
Title=0.115635
#LineColor=black
#FillStyle=solid
#FillColor=cyan
PlotOrder=4
LineColor=cyan
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.500000e+01	1.017000e-02	2.008831e-03	2.008831e-03
2.500000e+01	5.000000e+01	1.618003e-01	2.914395e-02	2.914395e-02
5.000000e+01	7.500000e+01	3.253011e-01	4.012356e-02	4.012356e-02
7.500000e+01	1.000000e+02	6.374041e-01	6.812026e-02	6.812026e-02
1.000000e+02	1.200000e+02	6.040052e-01	5.863395e-02	5.863395e-02
1.200000e+02	1.500000e+02	4.712050e-01	4.447617e-02	4.447617e-02
1.500000e+02	1.800000e+02	3.686045e-01	3.551310e-02	3.551310e-02
1.800000e+02	2.000000e+02	2.868061e-01	2.765683e-02	2.765683e-02
2.000000e+02	2.200000e+02	2.224069e-01	2.023833e-02	2.023833e-02
2.200000e+02	2.500000e+02	1.747066e-01	1.679196e-02	1.679196e-02
2.500000e+02	2.800000e+02	1.405083e-01	1.415874e-02	1.415874e-02
2.800000e+02	3.000000e+02	1.123082e-01	1.190084e-02	1.190084e-02
3.000000e+02	3.200000e+02	9.127822e-02	9.921341e-03	9.921341e-03
3.200000e+02	3.500000e+02	7.434866e-02	8.226275e-03	8.226275e-03
3.500000e+02	3.800000e+02	6.162842e-02	7.027055e-03	7.027055e-03
3.800000e+02	4.000000e+02	5.124870e-02	6.111645e-03	6.111645e-03
4.000000e+02	4.500000e+02	3.826886e-02	4.423969e-03	4.423969e-03
4.500000e+02	5.000000e+02	2.782991e-02	3.474939e-03	3.474939e-03
5.000000e+02	5.800000e+02	1.904290e-02	2.722829e-03	2.722829e-03
5.800000e+02	6.800000e+02	1.183073e-02	2.033642e-03	2.033642e-03
6.800000e+02	8.000000e+02	6.430028e-03	1.146993e-03	1.146993e-03
8.000000e+02	1.000000e+03	2.973117e-03	5.270851e-04	5.270851e-04
1.000000e+03	1.200000e+03	1.333941e-03	3.028022e-04	3.028022e-04
1.200000e+03	1.400000e+03	5.973698e-04	1.458204e-04	1.458204e-04
1.400000e+03	1.600000e+03	2.470766e-04	8.628502e-05	8.628502e-05
1.600000e+03	1.800000e+03	1.241026e-04	3.081594e-05	3.081594e-05
1.800000e+03	2.000000e+03	4.656340e-05	3.921259e-05	3.921259e-05
# END HISTO1D
