(500.0, 1300.0, 0.947671)
(500.0, 1800.0, 0.950091)
(500.0, 1400.0, 0.946729)
(500.0, 600.0, 0.949607)
(500.0, 1900.0, 0.943306)
(500.0, 1200.0, 0.942797)
(500.0, 800.0, 0.948494)
(500.0, 1000.0, 0.947134)
(500.0, 2000.0, 0.951086)
(500.0, 700.0, 0.945738)
(500.0, 100.0, 0.971707)
(500.0, 200.0, 0.948694)
(500.0, 1500.0, 0.94705)
(500.0, 900.0, 0.948269)
(500.0, 1600.0, 0.948687)
(500.0, 500.0, 0.952328)
(500.0, 400.0, 0.94401)
(600.0, 200.0, 0.887031)
(600.0, 1400.0, 0.88222)
(600.0, 1900.0, 0.888005)
(600.0, 100.0, 0.901751)
(600.0, 800.0, 0.887406)
(600.0, 1200.0, 0.885499)
(600.0, 600.0, 0.886163)
(600.0, 1600.0, 0.884498)
(600.0, 400.0, 0.886434)
(600.0, 500.0, 0.886396)
(600.0, 1100.0, 0.892724)
(600.0, 300.0, 0.887029)
(600.0, 1700.0, 0.88553)
(600.0, 1500.0, 0.885021)
(600.0, 1800.0, 0.883288)
(600.0, 1000.0, 0.883454)
(600.0, 2000.0, 0.885666)
(600.0, 700.0, 0.888818)
(600.0, 1300.0, 0.894044)
(600.0, 900.0, 0.888708)
(700.0, 2000.0, 0.891141)
(700.0, 100.0, 0.884087)
(700.0, 1000.0, 0.894306)
(700.0, 600.0, 0.897569)
(700.0, 1400.0, 0.897931)
(700.0, 1900.0, 0.899312)
(700.0, 200.0, 0.8808)
(700.0, 400.0, 0.89642)
(700.0, 1300.0, 0.897224)
(700.0, 1100.0, 0.892422)
(700.0, 800.0, 0.897099)
(700.0, 1500.0, 0.893324)
(700.0, 1600.0, 0.901604)
(700.0, 1800.0, 0.909258)
(700.0, 1200.0, 0.897281)
(700.0, 700.0, 0.895374)
(700.0, 900.0, 0.891972)
(700.0, 300.0, 0.891848)
(700.0, 500.0, 0.895907)
(700.0, 1700.0, 0.893554)
(800.0, 300.0, 0.928511)
(800.0, 100.0, 0.911901)
(800.0, 1800.0, 0.941935)
(800.0, 800.0, 0.942667)
(800.0, 400.0, 0.941702)
(800.0, 200.0, 0.916885)
(800.0, 1700.0, 0.938333)
(800.0, 600.0, 0.943917)
(800.0, 1600.0, 0.943758)
(800.0, 1000.0, 0.941532)
(800.0, 1100.0, 0.943937)
(800.0, 1500.0, 0.938703)
(800.0, 1400.0, 0.939263)
(800.0, 1200.0, 0.942246)
(800.0, 900.0, 0.941693)
(800.0, 1300.0, 0.938744)
(800.0, 2000.0, 0.942455)
(800.0, 500.0, 0.941322)
(800.0, 1900.0, 0.942582)
(800.0, 700.0, 0.939813)
(900.0, 200.0, 0.936085)
(900.0, 1100.0, 0.963161)
(900.0, 300.0, 0.950939)
(900.0, 1000.0, 0.963056)
(900.0, 900.0, 0.963699)
(900.0, 1600.0, 0.963864)
(900.0, 700.0, 0.963458)
(900.0, 1900.0, 0.9629)
(900.0, 500.0, 0.963814)
(900.0, 1400.0, 0.961856)
(900.0, 1200.0, 0.961567)
(900.0, 1500.0, 0.961364)
