(900.0, 1100.0, 0.966912)
(900.0, 300.0, 0.848668)
(900.0, 1000.0, 0.957468)
(900.0, 900.0, 0.968702)
(900.0, 1600.0, 0.96803)
(900.0, 700.0, 0.970501)
(900.0, 1900.0, 0.967747)
(900.0, 500.0, 0.966293)
(900.0, 1400.0, 0.960523)
(900.0, 1200.0, 0.962673)
(900.0, 1500.0, 0.96487)
(900.0, 800.0, 0.965887)
(900.0, 400.0, 0.916737)
(900.0, 100.0, 0.86327)
(900.0, 600.0, 0.960648)
(900.0, 1800.0, 0.964382)
(900.0, 2000.0, 0.951982)
(900.0, 1700.0, 0.96642)
(900.0, 1300.0, 0.956137)
(1000.0, 1600.0, 0.976932)
(1000.0, 1400.0, 0.981557)
(1000.0, 1500.0, 0.981957)
(1000.0, 700.0, 0.97926)
(1000.0, 1900.0, 0.98356)
(1000.0, 1800.0, 0.980236)
(1000.0, 500.0, 0.981189)
(1000.0, 1000.0, 0.979514)
(1000.0, 200.0, 0.732839)
(1000.0, 1100.0, 0.983181)
(1000.0, 2000.0, 0.979062)
(1000.0, 1700.0, 0.979101)
(1000.0, 800.0, 0.97698)
(1000.0, 1300.0, 0.977485)
(1000.0, 400.0, 0.885308)
(1000.0, 300.0, 0.760598)
(1000.0, 600.0, 0.980037)
(1000.0, 1200.0, 0.976708)
(1000.0, 100.0, 0.728325)
(1000.0, 900.0, 0.982203)
(1100.0, 1300.0, 0.981184)
(1100.0, 1800.0, 0.982747)
(1100.0, 2000.0, 0.980745)
(1100.0, 700.0, 0.977632)
(1100.0, 900.0, 0.979749)
(1100.0, 200.0, 0.63312)
(1100.0, 1900.0, 0.98315)
(1100.0, 1500.0, 0.980748)
(1100.0, 800.0, 0.98234)
(1100.0, 500.0, 0.955511)
(1100.0, 1700.0, 0.982198)
(1100.0, 400.0, 0.803568)
(1100.0, 600.0, 0.980382)
(1100.0, 1400.0, 0.980766)
(1100.0, 100.0, 0.623262)
(1100.0, 1100.0, 0.977522)
(1100.0, 1000.0, 0.984484)
(1100.0, 300.0, 0.683853)
(1100.0, 1200.0, 0.980248)
(1100.0, 1600.0, 0.981884)
(1200.0, 100.0, 0.519516)
(1200.0, 1400.0, 0.969022)
(1200.0, 1700.0, 0.977875)
(1200.0, 1800.0, 0.966474)
(1200.0, 700.0, 0.973569)
(1200.0, 200.0, 0.536873)
(1200.0, 1900.0, 0.967146)
(1200.0, 1200.0, 0.96782)
(1200.0, 1100.0, 0.971565)
(1200.0, 1300.0, 0.96919)
(1200.0, 2000.0, 0.969536)
(1200.0, 800.0, 0.972567)
(1200.0, 1600.0, 0.973393)
(1200.0, 1000.0, 0.974022)
(1200.0, 1500.0, 0.970638)
(1200.0, 300.0, 0.575152)
(1200.0, 600.0, 0.967126)
(1200.0, 500.0, 0.877487)
(1200.0, 900.0, 0.969985)
(1200.0, 400.0, 0.723339)
(1300.0, 1600.0, 0.972828)
(1300.0, 1700.0, 0.975097)
(1300.0, 900.0, 0.974261)
(1300.0, 200.0, 0.521137)
(1300.0, 1800.0, 0.972098)
(1300.0, 1000.0, 0.97258)
(1300.0, 1400.0, 0.97423)
(1300.0, 1200.0, 0.970473)
(1300.0, 500.0, 0.826001)
(1300.0, 100.0, 0.485046)
(1300.0, 1100.0, 0.974172)
(1300.0, 2000.0, 0.972394)
(1300.0, 1300.0, 0.973157)
(1300.0, 1500.0, 0.971674)
(1300.0, 600.0, 0.949784)
(1300.0, 300.0, 0.587305)
(1300.0, 1900.0, 0.973804)
(1300.0, 400.0, 0.679336)
(1300.0, 700.0, 0.977466)
(1300.0, 800.0, 0.971452)
(1400.0, 1100.0, 0.983935)
(1400.0, 400.0, 0.672747)
(1400.0, 1500.0, 0.980768)
(1400.0, 1800.0, 0.984301)
(1400.0, 1600.0, 0.983832)
(1400.0, 1400.0, 0.98469)
(1400.0, 600.0, 0.926236)
(1400.0, 1700.0, 0.985938)
(1400.0, 900.0, 0.979697)
(1400.0, 100.0, 0.494731)
(1400.0, 700.0, 0.982382)
(1400.0, 2000.0, 0.983728)
(1400.0, 800.0, 0.987851)
(1400.0, 1300.0, 0.98388)
(1400.0, 300.0, 0.572534)
(1400.0, 1200.0, 0.984832)
(1400.0, 500.0, 0.798446)
(1400.0, 1000.0, 0.985386)
(1400.0, 200.0, 0.498431)
(1400.0, 1900.0, 0.981359)
(1500.0, 1500.0, 0.96543)
(1500.0, 1100.0, 0.972527)
(1500.0, 1800.0, 0.97483)
(1500.0, 400.0, 0.622637)
(1500.0, 200.0, 0.471462)
(1500.0, 500.0, 0.678371)
(1500.0, 1300.0, 0.968292)
(1500.0, 600.0, 0.833476)
(1500.0, 1000.0, 0.97405)
(1500.0, 2000.0, 0.965687)
(1500.0, 800.0, 0.970637)
(1500.0, 1700.0, 0.968348)
(1500.0, 1200.0, 0.968673)
(1500.0, 300.0, 0.500176)
(1500.0, 1400.0, 0.968413)
(1500.0, 100.0, 0.400347)
(1500.0, 900.0, 0.976808)
(1500.0, 700.0, 0.947606)
(1500.0, 1900.0, 0.969142)
(1500.0, 1600.0, 0.967661)
(1600.0, 1500.0, 0.938283)
(1600.0, 100.0, 0.388432)
(1600.0, 1300.0, 0.926809)
(1600.0, 900.0, 0.930457)
(1600.0, 300.0, 0.432415)
(1600.0, 500.0, 0.564388)
(1600.0, 1000.0, 0.931643)
(1600.0, 1200.0, 0.93853)
(1600.0, 1800.0, 0.927134)
(1600.0, 1100.0, 0.922822)
(1600.0, 1900.0, 0.932385)
(1600.0, 1700.0, 0.933022)
(1600.0, 800.0, 0.930276)
(1600.0, 200.0, 0.407427)
(1600.0, 1600.0, 0.936951)
(1600.0, 2000.0, 0.933301)
(1600.0, 1400.0, 0.927963)
(1600.0, 700.0, 0.829682)
(1600.0, 400.0, 0.504743)
(1600.0, 600.0, 0.706393)
(1700.0, 900.0, 0.959232)
(1700.0, 1500.0, 0.95254)
(1700.0, 1800.0, 0.957399)
(1700.0, 700.0, 0.825017)
(1700.0, 500.0, 0.597202)
(1700.0, 300.0, 0.464228)
(1700.0, 800.0, 0.930018)
(1700.0, 1300.0, 0.948002)
(1700.0, 400.0, 0.512366)
(1700.0, 1000.0, 0.961777)
(1700.0, 2000.0, 0.959745)
(1700.0, 1600.0, 0.954471)
(1700.0, 1400.0, 0.953297)
(1700.0, 1200.0, 0.953626)
(1700.0, 100.0, 0.407917)
(1700.0, 1700.0, 0.955293)
(1700.0, 1900.0, 0.953673)
(1700.0, 1100.0, 0.958223)
(1700.0, 600.0, 0.719985)
(1700.0, 200.0, 0.398264)
(1800.0, 600.0, 0.536123)
(1800.0, 1800.0, 0.892561)
(1800.0, 400.0, 0.431225)
(1800.0, 1300.0, 0.887418)
(1800.0, 1200.0, 0.891826)
(1800.0, 1700.0, 0.885675)
(1800.0, 500.0, 0.469788)
(1800.0, 1600.0, 0.899692)
(1800.0, 1000.0, 0.898275)
(1800.0, 700.0, 0.672344)
(1800.0, 200.0, 0.325246)
(1800.0, 800.0, 0.815254)
(1800.0, 2000.0, 0.886131)
(1800.0, 1100.0, 0.895112)
(1800.0, 900.0, 0.898208)
(1800.0, 1500.0, 0.892091)
(1800.0, 1400.0, 0.897901)
(1800.0, 1900.0, 0.884936)
